countyCode,countyName,cityCode,cityName,HotelCode,HotelName,HotelRating,Address,Attractions,Description,FaxNumber,HotelFacilities,Map,PhoneNumber,PinCode,HotelWebsiteUrl
SA,Saudi Arabia,100218,Abha,1067262,Abha Palace,FiveStar,Abha City Po Box 1100 Abha Abha ,,"Abha Palace hotel located on the edge of Al-Sad Lake, 10 minutes from Abha Airport . The hotel rooms have the overlook to the Al-Sad Lake and surrounding mountains.

The well-appointed rooms at Abha Palace include a spacious seating area with a flat-screen cable TV. All rooms come with a minibar and a private bathroom stocked with toiletries. The suites provide floor-to-ceiling windows, plush sofas, carpeted floors and exquisite wooden furniture are part of the elegant décor.

Massages are available at the spa. It includes a well-equipped gym and an indoor swimming pool. Guests can also relax in the sauna or hot tub.

Near  there is  a recreational park which the guests will be enjoy games, cable car ride starting from the station next to the hotel until the Green Mountain, where they can enjoy the amazing  views overlooking of Abha City.

Sightseeing tours through the Aseer Region can be arranged. In addition, private trips to Al Sahab Park and traditional markets are offered. Abha Palace is directly linked to Jebel Zerrah and Abu Khayal by 2 cable cars. Abha Airport is a 30-minute drive away, and a shuttle can be arranged. Guests are required to show a photo identification and credit card upon check-in. Please note that all Special Requests are subject to availability and additional charges may apply.
In response to Coronavirus (COVID-19), additional safety and sanitation measures are in effect at this property.
Spa and gym facilities at this property are unavailable due to Coronavirus (COVID-19).
Food & beverage services at this property may be limited or unavailable due to Coronavirus (COVID-19).
Due to Coronavirus (COVID-19), this property is taking steps to help protect the safety of guests and staff. Certain services and amenities may be reduced or unavailable as a result.
A damage deposit of SAR 300 is required on arrival. This will be collected as a cash payment. You should be reimbursed on check-out. Your deposit will be refunded in full in cash, subject to an inspection of the property.
Please note that 24 hour room service is available, and food and beverages are only allowed inside rooms.

Please note that during the month of Ramadan, Suhoor will be served instead of breakfast.",96672295555,Parking Restaurant Room service meeting/banquet facilities process in place to check health of guests 24-hour front desk first aid kit available Tennis Court Sauna Fitness centre Terrace Non-smoking rooms Airport shuttle Business centre Laundry dry cleaning contactless check-in/check-out breakfast in the room cashless payment available physical distancing rules followed mobile app for room service all plates  cutlery  glasses and other tableware have been sanitized guests have the option to cancel any cleaning services for their accommodation during their stay breakfast takeaway containers Ironing service delivered food is securely covered Free parking thermometers for guests provided by property internet services face masks for guests available lift express check-in/check-out Massage Billiards Table tennis Packed lunches Car hire hammam Fax/photocopying Luggage storage wifi Free WiFi Non-smoking throughout Air conditioning designated smoking area ATM/cash machine on site Snack Bar concierge service Private check-in/check-out shuttle service (additional charge) Special diet menus (on request) airport shuttle (additional charge) Daily housekeeping parking on site Private parking wifi available in all areas Public Bath secured parking Street parking Accessible parking airport pick up airport drop off Spa Facilities Fitness fitness/spa locker rooms Shuttle service Themed dinner nights 24-hour security Key card access Security alarm Smoke alarms CCTV in common areas CCTV outside property Fire extinguishers use of cleaning chemicals that are effective against coronavirus linens  towels and laundry washed in accordance with local authority guidelines guest accommodation is disinfected between stays guest accommodation sealed after cleaning physical distancing in dining areas food can be delivered to guest accommodation staff follow all safety protocols as directed by local authorities shared stationery such as printed menus  magazines  pens  and paper removed hand sanitizer in guest accommodation and key areas,18.21019|42.483,0096613809600,1100,https://www.booking.com/hotel/sa/abha-palace.html
SA,Saudi Arabia,100218,Abha,1238624,Al Buhaira Resort,ThreeStar,Al Sooda Road  ,,"Al Buhaira Resort is a popular choice amongst travelers in Abha, whether exploring or just passing through. The property features a wide range of facilities to make your stay a pleasant experience. Take advantage of the hotel's free Wi-Fi in all rooms, 24-hour front desk, Wi-Fi in public areas, car park, airport transfer. Comfortable guestrooms ensure a good night's sleep with some rooms featuring facilities such as television LCD/plasma screen, internet access  wireless, internet access  wireless (complimentary), air conditioning, wake-up service. Entertain the hotel's recreational facilities, including indoor pool, spa. A welcoming atmosphere and excellent service are what you can expect during your stay at Al Buhaira Resort.",966-7-2247515,24-hour front desk airport transfer car park elevator free Wi-Fi in all rooms Laundry service Restaurant safety deposit boxes Wi-Fi in public areas,18.22021473|42.5081706,966-7-2246458,62512,
SA,Saudi Arabia,100218,Abha,1238675,Boudl Abha,All,Near Abha Mall Complex Abha ,Distances are displayed to the nearest 0.1 mile and kilometer. <br /> <p>Waterfall Park - 1.9 km / 1.2 mi <br /> Shada Palace - 3.8 km / 2.4 mi <br /> Abha Cultural Arena - 4 km / 2.5 mi <br /> Agrab Market - 4.1 km / 2.5 mi <br /> Reservoir Park - 4.7 km / 2.9 mi <br /> Abha Lake - 4.7 km / 2.9 mi <br /> Tuesday Traditional Market - 4.7 km / 2.9 mi <br /> Andalus Park - 2.7 km / 1.7 mi <br /> Muftaha Theatre - 4 km / 2.5 mi <br /> Rihana Mall - 4.8 km / 3 mi <br /> Al Salam Theme Park - 5.7 km / 3.6 mi <br /> Abu Khayal Garden Park - 6.5 km / 4 mi <br /> Aseer National Park - 8.2 km / 5.1 mi <br /> Abha Palace Theme Park - 8.7 km / 5.4 mi <br /> King Khalid University - 9.9 km / 6.1 mi <br /> </p><p>The nearest major airport is Abha (AHB) - 19.9 km / 12.4 mi</p>,"<p>HeadLine : Near Waterfall Park</p><p>Location : Located in Abha, Boudl Abha is within a 5-minute drive of Agrab Market and Andalus Park.  This aparthotel is 1.8 mi (2.9 km) from Shada Palace and 2.2 mi (3.5 km) from Tuesday Traditional Market.</p><p>Rooms : Make yourself at home in one of the 50 air-conditioned rooms featuring kitchens. Flat-screen televisions with satellite programming provide entertainment, while complimentary wireless Internet access keeps you connected. Conveniences include phones, as well as safes and minibars.</p><p>Dining : Satisfy your appetite at the aparthotel s coffee shop/cafe, or stay in and take advantage of the 24-hour room service.</p><p>CheckIn Instructions : <ul>  <li>Extra-person charges may apply and vary depending on property policy</li><li>Government-issued photo identification and a credit card, debit card, or cash deposit may be required at check-in for incidental charges</li><li>Special requests are subject to availability upon check-in and may incur additional charges; special requests cannot be guaranteed</li><li>This property accepts credit cards; cash is not accepted</li><li>Safety features at this property include a carbon monoxide detector, a fire extinguisher, a smoke detector, a security system, a first aid kit, and window guards</li><li>Please note that cultural norms and guest policies may differ by country and by property; the policies listed are provided by the property</li>  </ul></p><p>Special Instructions : To make arrangements for check-in please contact the property at least 72 hours before arrival using the information on the booking confirmation. Guests must contact the property in advance for check-in instructions. Front desk staff will greet guests on arrival.</p>",966-11-4643468,Dry cleaning/laundry service Wheelchair accessible (may have limitations) Number of meeting rooms - 1 24-hour front desk Free WiFi Smoke-free property In-room accessibility (in select rooms) Number of coffee shops/cafes - 1 Laundry facilities Free newspapers in lobby elevator Free self parking Fitness facilities,18.232943|42.505368,966-920000666,99999*,http://www.boudl.com
SA,Saudi Arabia,100218,Abha,1306966,InterContinental Abha,ThreeStar,PO BOX 1447 ABHA KINGDOM OF SAUDI ARABIA ,,"This unpretentious hotel is set in Abha. InterContinental Abha features a total of 130 guests rooms. Both wired and wireless connections are available for guests' convenience at the communal areas. InterContinental Abha offers 24-hour reception for guests' convenience. This establishment's common areas are disability-friendly. InterContinental Abha is not a pet-friendly establishment. Moreover, those travelling with their own vehicle may make good use of the parking facilities at InterContinental Abha.",,Hotel IHG - Clean Promise,18.2139|42.5197,,0,http://www.ihg.com/intercontinental/hotels/gb/en/abha/ahbha/hoteldetail
SA,Saudi Arabia,100218,Abha,1405755,Abha Hotel,ThreeStar,King Saud Street Al Aziziah District Al Aziziah DistrictAbha 61321 ,,"Abha Hotel is located in downtown Abha, less than 5 minutes by car from Green Mountain. The restaurant is open 12 hours and serves oriental food. Free Wi-Fi is available in the entire hotel.

The rooms are air conditioned and have marble flooring. They include a satellite TV, minibar, and wardrobe. The bathroom has a shower and includes a hairdryer and free toiletries.

Abha International Airport is 19 km from Abha Hotel, and airport shuttle can be provided. There is a free private parking on the hotels site. Please check your visa requirements before travelling.",,Parking Restaurant Room service 24-hour front desk Non-smoking rooms Business centre Laundry dry cleaning Facilities for disabled guests Barber/beauty shop Family rooms breakfast in the room Ironing service Free parking internet services lift Safety Deposit Box Soundproof rooms Heating Fax/photocopying Luggage storage wifi Allergy-free room Free WiFi Non-smoking throughout Air conditioning designated smoking area concierge service Trouser press Lockers minimarket on site Daily housekeeping grocery deliveries parking on site wifi available in all areas Street parking Accessible parking Wheelchair accessible Toilet with grab rails Visual aids: Braille Visual aids: Tactile signs Strollers 24-hour security Key access Key card access Security alarm Smoke alarms CCTV in common areas CCTV outside property Fire extinguishers use of cleaning chemicals that are effective against coronavirus linens  towels and laundry washed in accordance with local authority guidelines guest accommodation is disinfected between stays guest accommodation sealed after cleaning physical distancing in dining areas food can be delivered to guest accommodation staff follow all safety protocols as directed by local authorities shared stationery such as printed menus  magazines  pens  and paper removed hand sanitizer in guest accommodation and key areas contactless check-in/check-out cashless payment available physical distancing rules followed screens or physical barriers placed between staff and guests in appropriate areas all plates  cutlery  glasses and other tableware have been sanitized guests have the option to cancel any cleaning services for their accommodation during their stay,18.21345|42.4998,966172305552,61321,https://www.booking.com/hotel/sa/abha.html
SA,Saudi Arabia,100218,Abha,1418713,Assalam Palace,FourStar,Imam Mohammed Ibn Saud Street  ,,"Located in downtown Abha, Assalam Palace is less than a 10-minute drive from Abha Mall. The hotel has a restaurant serving breakfast buffets and special diet menus on request. Room service is also provided.

The rooms and suites are air conditioned and have carpeted flooring. There is a seating area with a flat-screen satellite TV, a fridge, a wardrobe, and a safety deposit box.

The hotel has a business centre and offers meeting facilities. Free Wi-Fi is available in the entire hotel. There is also a 24-hour front desk that can assist in laundry and ironing services.

Abha International Airport is 19 km from Assalam Palace, and free airport shuttle is provided. Free private parking is available on the hotels site. Please check your visa requirements.",+9662282828,Free self parking Restaurant Room service Meeting rooms 24-hour front desk Fitness facilities Free newspapers in lobby Terrace Non-smoking rooms Airport shuttle Business center Laundry facilities Facilities for disabled guests Family rooms Breakfast service Ironing service Bridal suite Internet access Elevator/lift Express check-in Safe-deposit box at front desk Free valet parking Currency exchange Gift shops or newsstand Shoeshine Chapel/shrine Heating Fax/photocopying Luggage storage Shopping on site Free WiFi Free WiFi Non-smoking throughout Air conditioning ATM/banking Snack bar/deli Area shuttle (surcharge) Free airport transportation Lockers Parking onsite Private parking Kid meals Street parking,18.21621|42.49762,+9662281000+9662282828,99999*,https://www.booking.com/hotel/sa/kasr-salam.html
SA,Saudi Arabia,100218,Abha,1483487,Al Sooda Resort,OneStar,Al Sooda Abha ,,"Al Sooda Resort is conveniently located in the popular Abha area. Featuring a complete list of amenities, guests will find their stay at the property a comfortable one. 24-hour room service, free Wi-Fi in all rooms, 24-hour security, taxi service, 24-hour front desk are on the list of things guests can enjoy. Guestrooms are fitted with all the amenities you need for a good night's sleep. In some of the rooms, guests can find towels, complimentary tea, carpeting, clothes rack, slippers. The hotel offers various recreational opportunities. Al Sooda Resort is an excellent choice from which to explore Abha or to simply relax and rejuvenate.",966172291488,24-hour front desk 24-hour room service 24-hour security car park coffee shop elevator express check-in/check-out family room free Wi-Fi in all rooms Newspapers Restaurant Room service safety deposit boxes shared lounge/TV area Smoking area taxi service Wi-Fi in public areas,18.29395|42.36064,966172291500,,http://www.syahya.com.sa/sooda.html
SA,Saudi Arabia,100218,Abha,1495257,La Fontaine Sarat Abha Hotel,TwoStar,Al Sooda Road Al Khaldiyah District Al Khaldiyah DistrictAbha 52935 ,Distances are displayed to the nearest 0.1 mile and kilometer. <br /> <p>Waterfall Park - 4.9 km / 3.1 mi <br /> Abha Cultural Arena - 3.4 km / 2.1 mi <br /> Reservoir Park - 4.5 km / 2.8 mi <br /> Tuesday Traditional Market - 5 km / 3.1 mi <br /> Muftaha Theatre - 5.6 km / 3.5 mi <br /> Muftaha Museum - 5.6 km / 3.5 mi <br /> Shada Palace - 5.8 km / 3.6 mi <br /> Aseer National Park - 6.2 km / 3.9 mi <br /> Abu Khayal Garden Park - 7.2 km / 4.5 mi <br /> Abha Lake - 7.2 km / 4.5 mi <br /> Andalus Park - 7.8 km / 4.9 mi <br /> Rihana Mall - 9 km / 5.6 mi <br /> Al Salam Theme Park - 10.8 km / 6.7 mi <br /> King Khalid University - 15.4 km / 9.6 mi <br /> Jabal Sawda - 18.3 km / 11.4 mi <br /> </p><p>The preferred airport for La Fontaine Sarat Abha Hotel is Abha (AHB) - 25 km / 15.5 mi </p>,"<p>HeadLine : Near Abha Cultural Arena</p><p>Location : Located in Abha, La Fontaine Sarat Abha Hotel is a 5-minute drive from Abha Cultural Arena and 6 minutes from Reservoir Park.  This hotel is 2.9 mi (4.6 km) from Waterfall Park and 3.1 mi (5 km) from Tuesday Traditional Market.</p><p>Rooms : Make yourself at home in one of the 41 air-conditioned rooms featuring fireplaces and LCD televisions. Complimentary wireless Internet access is available to keep you connected. Conveniences include phones, as well as safes and desks.</p><p>Dining : Enjoy a meal at the restaurant or snacks in the hotel s coffee shop/café. Mingle with other guests at the complimentary reception, held daily.</p><p>CheckIn Instructions : <ul>  <li>Extra-person charges may apply and vary depending on property policy</li><li>Government-issued photo identification and a credit card, debit card, or cash deposit may be required at check-in for incidental charges</li><li>Special requests are subject to availability upon check-in and may incur additional charges; special requests cannot be guaranteed</li><li>This property accepts credit cards</li><li>Safety features at this property include a fire extinguisher, a smoke detector, a security system, a first aid kit, and window guards</li><li>Please note that cultural norms and guest policies may differ by country and by property; the policies listed are provided by the property</li>  </ul></p><p>Special Instructions : Front desk staff will greet guests on arrival.</p>",966-12-6521444,Safe-deposit box at front desk Free reception Terrace Luggage storage Newspapers in lobby (surcharge) Fitness facilities Concierge services 24-hour front desk Porter/bellhop Meeting rooms Tours/ticket assistance Accessible bathroom Free self parking Free WiFi Wheelchair accessible parking Airport transportation (surcharge) Smoke-free property Number of coffee shops/cafes - 1,18.229889|42.467684,966-12-6521444,52935,
SA,Saudi Arabia,100218,Abha,1498943,Phorbion Hotel Suites,ThreeStar,Al Soudah Road Abha ,Distances are displayed to the nearest 0.1 mile and kilometer. <br /> <p>Tuesday Traditional Market - 4.6 km / 2.8 mi <br /> Shada Palace - 4.7 km / 2.9 mi <br /> Waterfall Park - 4.7 km / 2.9 mi <br /> Muftaha Theatre - 5 km / 3.1 mi <br /> Muftaha Museum - 5 km / 3.1 mi <br /> Abha Cultural Arena - 3.2 km / 2 mi <br /> Reservoir Park - 4.4 km / 2.7 mi <br /> Aseer National Park - 6.1 km / 3.8 mi <br /> Abha Lake - 6.8 km / 4.2 mi <br /> Abu Khayal Garden Park - 7.1 km / 4.4 mi <br /> Andalus Park - 7.2 km / 4.5 mi <br /> Rihana Mall - 8.9 km / 5.5 mi <br /> Al Salam Theme Park - 10.9 km / 6.8 mi <br /> King Khalid University - 15.3 km / 9.5 mi <br /> Jabal Sawda - 19.8 km / 12.3 mi <br /> </p><p>The nearest major airport is Abha (AHB) - 25.1 km / 15.6 mi</p>,"<p>HeadLine : Near Abha Cultural Arena</p><p>Location : Located in Abha, Phorbion Hotel Suites is a 5-minute drive from Abha Cultural Arena and 5 minutes from Reservoir Park.  This aparthotel is 2.8 mi (4.5 km) from Waterfall Park and 3.1 mi (4.9 km) from Tuesday Traditional Market.</p><p>Rooms : Make yourself at home in one of the 31 guestrooms, featuring kitchens with full-sized refrigerators/freezers and stovetops. Complimentary wireless Internet access keeps you connected, and satellite programming is available for your entertainment. Conveniences include safes and desks, and housekeeping is provided daily.</p><p>CheckIn Instructions : Extra-person charges may apply and vary depending on property policy Government-issued photo identification and a credit card, debit card, or cash deposit may be required at check-in for incidental charges Special requests are subject to availability upon check-in and may incur additional charges; special requests cannot be guaranteed This property accepts credit cards Please note that cultural norms and guest policies may differ by country and by property; the policies listed are provided by the property</p><p>Special Instructions : Front desk staff will greet guests on arrival.</p>",966-17-2310995,Safe-deposit box at front desk Barbecue grill(s) Laundry facilities Terrace Luggage storage Free self parking Free WiFi Smoke-free property Concierge services 24-hour front desk,18.229708|42.468604,966-17-2310995,52935,
SA,Saudi Arabia,100218,Abha,1628309,Melaf Suites,All,King Fahad Road Al Mowazfin District Al Mowazfin DistrictAbha 61321 ,,"Located in Abha , ????? ????? features self-catered accommodations. It offers free-Wi-Fi in all areas and Asir Mall is 3 minutes away by car.

All units are fitted with tiled and carpeted floors. Each apartment includes a separate living room with a satellite flat-screen TV and a fully equipped kitchen. The bathroom is fitted with a shower.

Abha is a 5-minute drive and Abha Regional Airport is 10 minutes away by car. Free private parking is available on site. Please inform Elaf Suits in advance of your expected arrival time. You can use the Special Requests box when booking, or contact the property directly with the contact details provided in your confirmation.
Guests are required to show a photo identification and credit card upon check-in. Please note that all Special Requests are subject to availability and additional charges may apply.
This property will not accommodate hen, stag or similar parties.
Please check your visa requirements before you travel.

Please note that this property is a family property only.",,invoice provided guests have the option to cancel any cleaning services for their accommodation during their stay thermometers for guests provided by property Parking Room service 24-hour front desk Laundry Facilities for disabled guests Family rooms Ironing service Free parking internet services lift Heating Luggage storage wifi Free WiFi Non-smoking throughout Air conditioning Lockers Daily housekeeping grocery deliveries parking on site wifi available in all areas secured parking Street parking Accessible parking Wheelchair accessible coffee house on site 24-hour security Security alarm Smoke alarms Fire extinguishers use of cleaning chemicals that are effective against coronavirus linens  towels and laundry washed in accordance with local authority guidelines guest accommodation is disinfected between stays guest accommodation sealed after cleaning staff follow all safety protocols as directed by local authorities shared stationery such as printed menus  magazines  pens  and paper removed hand sanitizer in guest accommodation and key areas process in place to check health of guests contactless check-in/check-out cashless payment available physical distancing rules followed,18.23566|42.58962,+966 17 230 5444,61321,https://www.booking.com/hotel/sa/melaf-suites.html
SA,Saudi Arabia,100218,Abha,1628942,Al Raha Apartment,ThreeStar,Restaurants Street Next To Andalus Park Next to Andalus ParkAbha 99999 ,,"Set in a prime location of Abha, Al Raha Apartment puts everything the city has to offer just outside your doorstep. The hotel offers a wide range of amenities and perks to ensure you have a great time. 24-hour front desk, Wi-Fi in public areas, car park, family room, laundry service are there for guest''s enjoyment. Guestrooms are fitted with all the amenities you need for a good night''s sleep. In some of the rooms, guests can find air conditioning, balcony/terrace, fan, television, satellite/cable TV. The hotel offers various recreational opportunities. Al Raha Apartment is an excellent choice from which to explore Abha or to simply relax and rejuvenate.",,Laundry service Family rooms Wireless Internet Access Car Parking 24 Hour Front Desk,18.20640619|42.51451761,+966 7 228 6000,99999,
SA,Saudi Arabia,100218,Abha,1629068,Orchid Suites 3,All,Al Madinah Road Al Nuzha District Al Nuzha DistrictAbha 61311 ,,"Located 1.6 km from Al Andalus Park and 2 km from Agrab Market, Orchid Suites 3 provides accommodation in Abha. Free WiFi is provided throughout the property and private parking is available on site.

Accommodation is fitted with air conditioning and features a flat-screen TV with satellite channels, a fully equipped kitchenette with a dining area, and a private bathroom with slippers.

Abu Khayal Garden Park is 2.7 km from the aparthotel, while Muftaha Palace Theatre is 2.9 km away. The nearest airport is Abha Airport, 19 km from Orchid Suites 3. Please check your visa requirements before you travel.",966-17-2243636,Parking Room service Non-smoking rooms Facilities for disabled guests Family rooms internet services lift Safety Deposit Box Luggage storage wifi Free WiFi Air conditioning designated smoking area Daily housekeeping parking on site Private parking wifi available in all areas invoice provided,18.21031|42.50852,966-17-2243636,61311,https://www.booking.com/hotel/sa/jnh-l-wrkyd-orchid-suites.html
